Product,Brand,Batch,Mfg,Exp,Packing,Units,Loose,Stock (kg),Location,Reservation by ,Reserved Qty ,Date ,Status
PINK PEPPER BERRY OIL,JASMIN (COLOUR CHANGE),0000019213,2.3.2026,1.3.2029,,1,3,3,F1C3,,,,
PINK PEPPER BERRY OIL,JASMIN (COLOUR CHANGE),0000019213,2.3.2026,1.3.2029,,1,0.98,0.98,F1C3,,,,
PINK PEPPER BERRY OIL,JASMIN (COLOUR CHANGE),0000019213,2.3.2026,1.3.2029,,1,0.180,0.18,F1C3,,,,
PINK PEPPER BERRY OIL,P & B,0200477113,23.3.2026,12.3.2028,,1,0.28,0.28,F1C3,,,,
,,,,,,,,,,,,,
METHYL HEPTINE CARBONATE,BBK,090526,9.5.2026,8.5.2027,,1,5,5,F1C3,,,,
METHYL HEPTINE CARBONATE,BBK,230226,23.2.2026,22.2.2027,,1,4,4,F1C3,,,,
METHYL HEPTINE CARBONATE,BBK,230226,23.2.2026,22.2.2027,,1,0.44,0.44,F1C3,,,,
METHYL HEPTINE CARBONATE,BBK (COLOUR CHANGE),111124,11.11.2024,10.11.2025,,1,0.7,0.7,F1C3,,,,
,,,,,,,,,,,,,
MUSCENONE,FIRMENICH,1009230628,16.2.2026,16.8.2027,,1,3,3,F1C3,,,,
MUSCENONE,FIRMENICH,1009230628,16.2.2026,16.8.2027,,1,0.96,0.96,F1C3,,,,
MUSCENONE,FIRMENICH,1008525741,23.4.2025,23.10.2026,,1,0.87,0.87,F1C3,,,,
MUSCENONE,FIRMENICH,1008828290,27.8.2025,27.2.2027,,1,0.25,0.25,F1C3,,,,
,,,,,,,,,,,,,
AMYRIS OIL ,CHINA,LN060215,20.5.2026,20.5.2027,,2,5,10,F1C3,,,,
AMYRIS OIL ,CHINA,LN060215,20.5.2026,20.5.2027,,1,1,1,F1C3,,,,
AMYRIS OIL ,CHINA,LN060215,20.5.2026,20.5.2027,,1,0.775,0.775,F1C3,,,,
,,,,,,,,,,,,,
ARMOISE OIL,P & B,550589,Feb-26,Feb-28,,1,3,3,F1C3,,,,
ARMOISE OIL,P & B,550589,Feb-26,Feb-28,,1,0.97,0.97,F1C3,,,,
,,,,,,,,,,,,,
ALPHA DAMASCONE,DM,DM032/263/05-280,2.7.2026,2.7.2027,10,3,,30,F1C3,,,,
ALPHA DAMASCONE,DM,DM032/263/05-280,2.7.2026,2.7.2027,,2,5,10,F1C3,,,,
ALPHA DAMASCONE,DM,DM032/263/05-280,2.7.2026,2.7.2027,,1,1,1,F1C3,,,,
ALPHA DAMASCONE,DM,DM032/263/05-280,2.7.2026,2.7.2027,,1,0.36,0.36,F1C3,,,,
ALPHA DAMASCONE,PRIVI,0000385845,22.8.2025,12.8.2027,,1,0.83,0.83,F1C3,,,,
ALPHA DAMASCONE,HAC,0100189460,4.12.2025,4.12.2027,,1,1,1,F1C3,,,,
ALPHA DAMASCONE,HAC,0100189460,4.12.2025,4.12.2027,,1,0.08,0.08,F1C3,,,,
,,,,,,,,,,,,,
AMBERMAX 50%,GIVADAN,VE00970420,10.10.2025,5.10.2026,,1,2,2,F1C3,,,,
AMBERMAX 50%,GIVADAN,VE00970420,10.10.2025,5.10.2026,,1,0.955,0.955,F1C3,,,,
AMBERMAX 50%,GIVADAN,LN060218,5.5.2026,1.5.2027,,1,0.465,0.465,F1C3,,,,
AMBERMAX 50%,GIVADAN,LN060218,5.5.2026,1.5.2027,,1,0.3,0.3,F1C3,,,,
,,,,,,,,,,,,,
DAMASCONONE TOTAL,FIRMERICH,1009215476,11.2.2026,11.8.2027,,1,1,1,F1C3,,,,
DAMASCONONE TOTAL,FIRMERICH,100900212,11.11.2025,11.5.2027,,1,0.97,0.97,F1C3,,,,
DAMASCONONE TOTAL,FIRMERICH,1009215476,11.2.2026,11.8.2027,,1,0.91,0.91,F1C3,,,,
DAMASCONONE TOTAL,FIRMERICH,1009192858,31.1.2026,31.7.2027,,1,0.92,0.92,F1C3,,,,
DAMASCONONE TOTAL,HAC,0100188962,2.9.2024,2.9.2027,,1,0.91,0.91,F1C3,,,,
DAMASCONONE TOTAL,FIRMARICH,1008562634,11.5.2025,11.11.2026,,1,0.65,0.65,F1C3,,,,
,,,,,,,,,,,,,
BETA DAMASCONE,CHINA,260110,10.1.2026,10.1.2027,,1,1,1,F1C3,,,,
BETA DAMASCONE,CHINA,CU20A-241130,10.12.2025,10.12.2027,,1,0.96,0.96,F1C3,,,,
BETA DAMASCONE,CHINA,2403001,Jan-24,Jan-26,,1,0.05,0.05,F1C3,,,,
,,,,,,,,,,,,,
CARROT SEED OIL ,GANGOTRI,CSO/014/0426,Sep-25,Sep-27,,1,0.485,0.485,F1C3,,,,
,,,,,,,,,,,,,
LEMONILE,GIRDE,JI00262509,14.10.2024,2.6.2027,,1,1,1,F1C3,,,,
LEMONILE,GIRDE,JI00262509,14.10.2024,2.6.2027,,1,0.98,0.98,F1C3,,,,
,,,,,,,,,,,,,
VETIVER HAITI ,AUROSHINE,AS25006303,7.2.2025,7.2.2027,,1,0.5,0.5,F1C3,,,,
VETIVER HAITI ,AUROSHINE,AS25006303,7.2.2025,7.2.2027,,1,0.03,0.03,F1C3,,,,
,,,,,,,,,,,,,
SAFRALEINE,GIVADAN,,,,,1,5,5,F1C3,,,,
SAFRALEINE,GIVADAN,,,,,1,4.965,4.965,F1C3,,,,
,,,,,,,,,,,,,
LEMON OIL WASHED,CAPUA,26/03389,14.5.2026,14.5.2028,50,1,,50,F1C5,,,,
,,,,,,,,,,,,,
ORANGE OIL 100% NAT (29330),CAPUA,25/04541,7.11.2025,7.11.2027,,1,5,5,F1C5,,,,
ORANGE OIL 100% NAT (29330),CAPUA,25/04541,7.11.2025,7.11.2027,,1,1,1,F1C5,,,,
ORANGE OIL 100% NAT (29330),CAPUA,25/04541,7.11.2025,7.11.2027,,1,0.645,0.645,F1C5,,,,
,,,,,,,,,,,,,
BERGOMOT OIL LOW FUROC (27188),CAPUA,26/00860,26.2.2026,26.2.2027,50,1,,50,F1C5,,,,
,,,,,,,,,,,,,
LEMON OIL ITALY (20999),CAPUA,25/04332,5.9.2025,5.9.2027,,1,5.05,5.05,F1C5,,,,
LEMON OIL ITALY (20999),CAPUA,25/04295,4.7.2025,4.7.2027,,1,5,5,F1C5,,,,
LEMON OIL ITALY (20999),CAPUA,25/04295,4.7.2025,4.7.2027,,1,0.53,0.53,F1C5,,,,
,,,,,,,,,,,,,
ETHYL VANILLIN,THRIVE,2602006,5.2.2026,4.2.2029,25,2,,50,F1D10,,,,
,,,,,,,,,,,,,
